date,unique_rides,estimative_rows,mean_price,median_price,p95_price,weekday,month,unique_rides_7d_ma,mean_price_14d_ma
2022-04-04,281,2892,41.64224412171507,28.0,118.62749999999997,Monday,2022-04,275.85714285714283,43.2125887446765
2022-04-05,316,3334,64.78660167966407,34.5,164.0,Tuesday,2022-04,262.0,44.95849937570723
2022-04-06,334,3429,42.907693205016045,30.5,109.79999999999995,Wednesday,2022-04,251.0,44.78153582639304
2022-04-07,334,3602,64.47841476957245,28.5,119.47499999999991,Thursday,2022-04,248.85714285714286,46.47469439773776
2022-04-08,280,2974,47.863698722259585,33.5,116.5,Friday,2022-04,251.14285714285714,46.708372556037304
2022-04-09,91,941,44.587725823591924,32.5,124.0,Saturday,2022-04,247.14285714285714,46.75397849338458
2022-04-10,52,509,40.8498231827112,30.5,115.9259999999998,Sunday,2022-04,241.14285714285714,47.24598836488646
2022-04-11,303,3310,59.83278851963746,40.54,171.26599999999996,Monday,2022-04,244.28571428571428,48.750605098478786
2022-04-12,538,5873,69.44517452749872,40.0,156.5,Tuesday,2022-04,276.0,50.25709545981283
2022-04-13,470,5145,83.90193197278911,51.5,243.06200000000007,Wednesday,2022-04,295.42857142857144,53.14029987752063
2022-04-14,513,5219,71.02285878520789,32.5,161.5,Thursday,2022-04,321.0,54.90026017402503
2022-04-15,110,1026,48.94366471734892,31.5,140.0,Friday,2022-04,296.7142857142857,55.363217818051616
2022-04-16,63,509,36.23080550098232,26.0,96.2999999999999,Saturday,2022-04,292.7142857142857,54.897437034215024
2022-04-17,53,470,60.21214893617021,33.5,84.955,Sunday,2022-04,292.85714285714283,55.478969604583206
2022-04-18,309,3417,37.149552238805974,25.0,104.0,Monday,2022-04,293.7142857142857,55.158063041518275
2022-04-19,385,4542,45.076908850726554,33.5,117.5,Tuesday,2022-04,271.85714285714283,53.75022783945131
2022-04-20,303,3307,47.35508920471727,30.5,139.5,Wednesday,2022-04,248.0,54.06789898228711
2022-04-21,105,1065,48.01330516431925,30.4,92.97999999999996,Thursday,2022-04,189.71428571428572,52.89181972476903
